

Var[grouping | dispersion]: 1.2074


After each iteration, results will be shown.
0.604170 | Epoch 1 [-298521] => tp: 43817|43817, fp: 342338|956172, fn: 0|0, tot: 657651|43817 from 999989
0.501190 | Epoch 2 [-298760] => tp: 42335|42335, fp: 339613|948802, fn: 1482|1482, tot: 658894|49705 from 999989
0.494327 | Epoch 3 [-133094] => tp: 39163|39163, fp: 167603|483993, fn: 4654|4654, tot: 827732|511342 from 999989
0.472730 | Epoch 4 [-43817] => tp: 0|0, fp: 0|0, fn: 43817|43817, tot: 956172|956172 from 999989
0.456087 | Epoch 5 [-43817] => tp: 0|0, fp: 0|0, fn: 43817|43817, tot: 956172|956172 from 999989
0.462489 | Epoch 6 [-15115] => tp: 19272|19272, fp: 9842|42240, fn: 24545|24545, tot: 965602|933204 from 999989
0.394255 | Epoch 7 [-43817] => tp: 0|0, fp: 0|0, fn: 43817|43817, tot: 956172|956172 from 999989
0.410744 | Epoch 8 [-43817] => tp: 0|0, fp: 0|0, fn: 43817|43817, tot: 956172|956172 from 999989
0.451675 | Epoch 9 [11464] => tp: 39019|39019, fp: 22757|93635, fn: 4798|4798, tot: 972434|901556 from 999989
0.395925 | Epoch 10 [-43817] => tp: 0|0, fp: 0|0, fn: 43817|43817, tot: 956172|956172 from 999989
0.388894 | Epoch 11 [-43817] => tp: 0|0, fp: 0|0, fn: 43817|43817, tot: 956172|956172 from 999989
0.365543 | Epoch 12 [-43817] => tp: 0|0, fp: 0|0, fn: 43817|43817, tot: 956172|956172 from 999989
0.371681 | Epoch 13 [-45017] => tp: 2808|2808, fp: 6816|20771, fn: 41009|41009, tot: 952164|938209 from 999989
0.322783 | Epoch 14 [-43817] => tp: 0|0, fp: 0|0, fn: 43817|43817, tot: 956172|956172 from 999989
0.323662 | Epoch 15 [-43817] => tp: 0|0, fp: 0|0, fn: 43817|43817, tot: 956172|956172 from 999989
0.309036 | Epoch 16 [-49116] => tp: 0|0, fp: 5299|14417, fn: 43817|43817, tot: 950873|941755 from 999989
0.297212 | Epoch 17 [2649] => tp: 28605|28605, fp: 10744|52083, fn: 15212|15212, tot: 974033|932694 from 999989
0.276615 | Epoch 18 [15329] => tp: 35423|35423, fp: 11700|60199, fn: 8394|8394, tot: 979895|931396 from 999989
0.261502 | Epoch 19 [17570] => tp: 39018|39018, fp: 16649|76774, fn: 4799|4799, tot: 978541|918416 from 999989
0.218073 | Epoch 20 [-46938] => tp: 0|0, fp: 3121|8543, fn: 43817|43817, tot: 953051|947629 from 999989
0.233068 | Epoch 21 [17543] => tp: 39019|39019, fp: 16678|76835, fn: 4798|4798, tot: 978513|918356 from 999989
0.207357 | Epoch 22 [17543] => tp: 39019|39019, fp: 16678|76835, fn: 4798|4798, tot: 978513|918356 from 999989
0.187603 | Epoch 23 [17543] => tp: 39019|39019, fp: 16678|76835, fn: 4798|4798, tot: 978513|918356 from 999989
0.176895 | Epoch 24 [17543] => tp: 39019|39019, fp: 16678|76835, fn: 4798|4798, tot: 978513|918356 from 999989
0.157000 | Epoch 25 [17543] => tp: 39019|39019, fp: 16678|76835, fn: 4798|4798, tot: 978513|918356 from 999989
0.145581 | Epoch 26 [17543] => tp: 39019|39019, fp: 16678|76835, fn: 4798|4798, tot: 978513|918356 from 999989
0.149874 | Epoch 27 [15413] => tp: 39019|39019, fp: 18808|82584, fn: 4798|4798, tot: 976383|912607 from 999989
0.135601 | Epoch 28 [15822] => tp: 39019|39019, fp: 18399|81435, fn: 4798|4798, tot: 976792|913756 from 999989
0.123243 | Epoch 29 [14769] => tp: 39019|39019, fp: 19452|84347, fn: 4798|4798, tot: 975739|910844 from 999989
0.118278 | Epoch 30 [11154] => tp: 39019|39019, fp: 23067|94488, fn: 4798|4798, tot: 972124|900703 from 999989
0.106534 | Epoch 31 [11160] => tp: 39019|39019, fp: 23061|94480, fn: 4798|4798, tot: 972130|900711 from 999989
0.096160 | Epoch 32 [11232] => tp: 39019|39019, fp: 22989|94334, fn: 4798|4798, tot: 972202|900857 from 999989
0.092360 | Epoch 33 [11154] => tp: 39019|39019, fp: 23067|94488, fn: 4798|4798, tot: 972124|900703 from 999989
0.089609 | Epoch 34 [11154] => tp: 39019|39019, fp: 23067|94488, fn: 4798|4798, tot: 972124|900703 from 999989
0.069165 | Epoch 35 [11564] => tp: 39019|39019, fp: 22657|93529, fn: 4798|4798, tot: 972534|901662 from 999989
0.075730 | Epoch 36 [11154] => tp: 39019|39019, fp: 23067|94488, fn: 4798|4798, tot: 972124|900703 from 999989
0.070171 | Epoch 37 [11154] => tp: 39019|39019, fp: 23067|94488, fn: 4798|4798, tot: 972124|900703 from 999989
0.071168 | Epoch 38 [11154] => tp: 39019|39019, fp: 23067|94488, fn: 4798|4798, tot: 972124|900703 from 999989
0.058434 | Epoch 39 [11154] => tp: 39019|39019, fp: 23067|94488, fn: 4798|4798, tot: 972124|900703 from 999989
0.058236 | Epoch 40 [11154] => tp: 39019|39019, fp: 23067|94488, fn: 4798|4798, tot: 972124|900703 from 999989
0.057707 | Epoch 41 [11154] => tp: 39019|39019, fp: 23067|94488, fn: 4798|4798, tot: 972124|900703 from 999989
0.048562 | Epoch 42 [11154] => tp: 39019|39019, fp: 23067|94488, fn: 4798|4798, tot: 972124|900703 from 999989
