

Var[grouping | dispersion]: 1.9588


After each iteration, results will be shown.
0.000133 | Epoch 51 [12058] => tp: 86589|86589, fp: 74531|120867, fn: 0|0, tot: 925468|879132 from 999999
0.000106 | Epoch 52 [14180] => tp: 86589|86589, fp: 72409|117452, fn: 0|0, tot: 927590|882547 from 999999
0.000087 | Epoch 53 [14707] => tp: 86589|86589, fp: 71882|116577, fn: 0|0, tot: 928117|883422 from 999999
0.000074 | Epoch 54 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000059 | Epoch 55 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000052 | Epoch 56 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000045 | Epoch 57 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000039 | Epoch 58 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000033 | Epoch 59 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000026 | Epoch 60 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000022 | Epoch 61 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000019 | Epoch 62 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000017 | Epoch 63 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000014 | Epoch 64 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000012 | Epoch 65 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000010 | Epoch 66 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000009 | Epoch 67 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000008 | Epoch 68 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000006 | Epoch 69 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000005 | Epoch 70 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000005 | Epoch 71 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000004 | Epoch 72 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000004 | Epoch 73 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000003 | Epoch 74 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000003 | Epoch 75 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000003 | Epoch 76 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000002 | Epoch 77 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000002 | Epoch 78 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000002 | Epoch 79 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000001 | Epoch 80 [14860] => tp: 86589|86589, fp: 71729|116352, fn: 0|0, tot: 928270|883647 from 999999
0.000001 | Epoch 81 [14898] => tp: 86589|86589, fp: 71691|116309, fn: 0|0, tot: 928308|883690 from 999999
0.000001 | Epoch 82 [14861] => tp: 86589|86589, fp: 71728|116351, fn: 0|0, tot: 928271|883648 from 999999
0.000001 | Epoch 83 [15398] => tp: 86589|86589, fp: 71191|115478, fn: 0|0, tot: 928808|884521 from 999999
0.000001 | Epoch 84 [15047] => tp: 86589|86589, fp: 71542|116066, fn: 0|0, tot: 928457|883933 from 999999
0.000001 | Epoch 85 [16616] => tp: 86589|86589, fp: 69973|113484, fn: 0|0, tot: 930026|886515 from 999999
0.000001 | Epoch 86 [19181] => tp: 86589|86589, fp: 67408|109353, fn: 0|0, tot: 932591|890646 from 999999
0.000001 | Epoch 87 [19384] => tp: 86589|86589, fp: 67205|109032, fn: 0|0, tot: 932794|890967 from 999999
0.000000 | Epoch 88 [22457] => tp: 86589|86589, fp: 64132|103962, fn: 0|0, tot: 935867|896037 from 999999
0.000000 | Epoch 89 [20607] => tp: 86589|86589, fp: 65982|106994, fn: 0|0, tot: 934017|893005 from 999999
0.000000 | Epoch 90 [24686] => tp: 86589|86589, fp: 61903|100291, fn: 0|0, tot: 938096|899708 from 999999
0.000000 | Epoch 91 [25980] => tp: 86589|86589, fp: 60609|98187, fn: 0|0, tot: 939390|901812 from 999999
0.000000 | Epoch 92 [26538] => tp: 86589|86589, fp: 60051|97272, fn: 0|0, tot: 939948|902727 from 999999
0.000000 | Epoch 93 [26538] => tp: 86589|86589, fp: 60051|97272, fn: 0|0, tot: 939948|902727 from 999999
0.000000 | Epoch 94 [26538] => tp: 86589|86589, fp: 60051|97272, fn: 0|0, tot: 939948|902727 from 999999
0.000000 | Epoch 95 [26538] => tp: 86589|86589, fp: 60051|97272, fn: 0|0, tot: 939948|902727 from 999999
0.000000 | Epoch 96 [26538] => tp: 86589|86589, fp: 60051|97272, fn: 0|0, tot: 939948|902727 from 999999
0.000000 | Epoch 97 [26538] => tp: 86589|86589, fp: 60051|97272, fn: 0|0, tot: 939948|902727 from 999999
0.000000 | Epoch 98 [26538] => tp: 86589|86589, fp: 60051|97272, fn: 0|0, tot: 939948|902727 from 999999
0.000000 | Epoch 99 [26538] => tp: 86589|86589, fp: 60051|97272, fn: 0|0, tot: 939948|902727 from 999999
0.000000 | Epoch 100 [26538] => tp: 86589|86589, fp: 60051|97272, fn: 0|0, tot: 939948|902727 from 999999
0.000000 | Epoch 101 [26538] => tp: 86589|86589, fp: 60051|97272, fn: 0|0, tot: 939948|902727 from 999999
0.000000 | Epoch 102 [26629] => tp: 86589|86589, fp: 59960|97167, fn: 0|0, tot: 940039|902832 from 999999
0.000000 | Epoch 103 [28953] => tp: 86589|86589, fp: 57636|93260, fn: 0|0, tot: 942363|906739 from 999999
0.000000 | Epoch 104 [39254] => tp: 86589|86589, fp: 47335|76584, fn: 0|0, tot: 952664|923415 from 999999
0.000000 | Epoch 105 [57558] => tp: 86589|86589, fp: 29031|47456, fn: 0|0, tot: 970968|952543 from 999999
0.000000 | Epoch 106 [54874] => tp: 86589|86589, fp: 31715|51654, fn: 0|0, tot: 968284|948345 from 999999
0.000000 | Epoch 107 [59583] => tp: 86589|86589, fp: 27006|44050, fn: 0|0, tot: 972993|955949 from 999999
0.000000 | Epoch 108 [57467] => tp: 86589|86589, fp: 29122|47590, fn: 0|0, tot: 970877|952409 from 999999
0.000000 | Epoch 109 [60325] => tp: 86589|86589, fp: 26264|42850, fn: 0|0, tot: 973735|957149 from 999999
0.000000 | Epoch 110 [60496] => tp: 86589|86589, fp: 26093|42551, fn: 0|0, tot: 973906|957448 from 999999
0.000000 | Epoch 111 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 112 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 113 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 114 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 115 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 116 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 117 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 118 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 119 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 120 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 121 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 122 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 123 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 124 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 125 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 126 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 127 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 128 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 129 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 130 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 131 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 132 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 133 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 134 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 135 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 136 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 137 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 138 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 139 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 140 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 141 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 142 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 143 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 144 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 145 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 146 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 147 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 148 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 149 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 150 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 151 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 152 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 153 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 154 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 155 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 156 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 157 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 158 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 159 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 160 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
0.000000 | Epoch 161 [60789] => tp: 86589|86589, fp: 25800|42087, fn: 0|0, tot: 974199|957912 from 999999
